"","기업명","본사주소","직원수","2020년매출액(천원)","입사율(연간 입사자)","퇴사율(연간 퇴사자"
"164","삼성전자로지텍","경기 수원시 영통구 삼성로 129","400명 이상 ~ 700명 미만","1,492,854,184","86.04 % (530 명)","62.18 % (383 명)"
"165","제너럴바이오","전북 완주군 경천면 대둔산로 540-12","100명 이상 ~ 200명 미만","28,629,042","44.23 % (46 명)","19.23 % (20 명)"
"166","지에스칼텍스","서울 강남구 논현로 508","1,000명 이상","21,107,559,000","6.84 % (221 명)","6.41 % (207 명)"
"167","체험","서울 마포구 월드컵로 36, 2층","1명 이상 ~ 20명 미만","100억원 ~ 500억원","175.00 % (98 명)","228.57 % (128 명)"
"168","SK에너지","서울 광진구 구의3동 20331번지",NA,NA,NA,NA
"169","텍사스인스트루먼트코리아","서울 강남구 영동대로 511","100명 이상 ~ 200명 미만","725,730,239","22.31 % (27 명)","20.66 % (25 명)"
"170","한국지케이엔","충남 천안시 서북구 3공단2로 53","1명 이상 ~ 20명 미만","10억원 ~ 50억원","0.00 % (0 명)","60.00 % (3 명)"
"171","한국철강","경남 창원시 성산구 공단로103번길 12","200명 이상 ~ 400명 미만","633,382,164","0.52 % (2 명)","6.48 % (25 명)"
"172","카카오","제주 제주시 첨단로 242","1,000명 이상","1,779,194,942","55.93 % (1556 명)","32.75 % (911 명)"
"173","카카오페이","경기 성남시 분당구 판교역로 152, 12층","700명 이상 ~ 1000명 미만","245,556,235","56.21 % (389 명)","21.53 % (149 명)"
"174","페렌벨",NA,NA,NA,NA,NA
"175","필웨이","서울 마포구 독막로2길 37","40명 이상 ~ 70명 미만","14,783,081","60.71 % (34 명)","71.43 % (40 명)"
"176","도쿄일렉트론코리아","경기 화성시 장안면 장안공단6길 51","1,000명 이상","952,173,011","22.20 % (297 명)","11.66 % (156 명)"
"177","서울메트로","서울 용산구 한강대로 지하 306, 서울메트로숙대입구역",NA,NA,NA,NA
"178","에이에스엠엘코리아","경기 화성시 삼성1로5길 25","1,000명 이상","234,061,790","33.55 % (464 명)","12.44 % (172 명)"
"179","인천항만공사","인천 연수구 센트럴로 263","200명 이상 ~ 400명 미만","1000억원 ~ 5000억원","23.88 % (64 명)","26.87 % (72 명)"
"180","중소기업은행","서울 중구 을지로 79","1,000명 이상",NA,"12.55 % (1640 명)","14.28 % (1866 명)"
"181","코닝정밀소","충남 아산시 탕정면 만전당길 30","1,000명 이상","1,471,026,299","12.36 % (311 명)","8.19 % (206 명)"
"182","한국다이이찌산쿄","서울 중구 을지로5길 26, 15층","200명 이상 ~ 400명 미만","190,495,188","14.22 % (30 명)","13.27 % (28 명)"
"183","코스콤","서울 영등포구 여의나루로4길 21","700명 이상 ~ 1000명 미만","310,381,439","8.88 % (68 명)","6.14 % (47 명)"
"184","농협사료","서울 강동구 올림픽로 528","700명 이상 ~ 1000명 미만","1,370,027,866","10.91 % (80 명)","9.69 % (71 명)"
"185","아드반테스트코리아","충남 천안시 서북구 3공단6로 140","200명 이상 ~ 400명 미만","210,074,968","10.80 % (23 명)","7.51 % (16 명)"
"186","케이디비캐피탈",NA,NA,NA,NA,NA
"187","한국담배인삼공사","인천 계양구 경명대로 1011",NA,NA,NA,NA
"188","한국조세정연구원",NA,NA,NA,NA,NA
"189","현대자동차","서울 서초구 헌릉로 12","1,000명 이상","50,661,002,000","9.74 % (6678 명)","10.01 % (6868 명)"
"190","리플렉션","서울 서초구 사임당로 171, 13층","40명 이상 ~ 70명 미만",NA,"167.86 % (47 명)","100.00 % (28 명)"
"191","도요엔지니어링코리아","서울 강남구 테헤란로37길 11","200명 이상 ~ 400명 미만","80,971,943","4.71 % (16 명)","6.18 % (21 명)"
"192","에너지경제연구원()",NA,NA,NA,NA,NA
"193","한국관광공사",NA,NA,NA,NA,NA
"194","한국교육학술정보원","대구 동구 동내로 64","200명 이상 ~ 400명 미만",NA,"37.97 % (131 명)","35.07 % (121 명)"
"195","탈잉","서울 강남구 테헤란로 625, 6층","70명 이상 ~ 100명 미만","50억원 ~ 100억원","145.45 % (80 명)","105.45 % (58 명)"
"196","동화약품","서울 중구 남대문로9길 24, 6층-8층","700명 이상 ~ 1000명 미만","267,438,909","7.59 % (55 명)","8.41 % (61 명)"
"197","브이씨엔씨","서울 성동구 왕십리로 83-21, 디타워동 3층","70명 이상 ~ 100명 미만","50억원 ~ 100억원","50.52 % (49 명)","60.82 % (59 명)"
"198","동서","서울 마포구 독막로 324","200명 이상 ~ 400명 미만","441,093,215","8.99 % (24 명)","9.36 % (25 명)"
"199","국회사무처","서울 영등포구 의사당대로 1","700명 이상 ~ 1000명 미만",NA,"46.09 % (430 명)","46.30 % (432 명)"
"200","데브시스터즈","서울 강남구 도산대로 327","200명 이상 ~ 400명 미만","71,251,403","122.50 % (196 명)","45.00 % (72 명)"
"201","인천교통공사","인천 남동구 경인로 674","1,000명 이상","1000억원 ~ 5000억원","20.31 % (483 명)","11.27 % (268 명)"
"202","파이언넷","서울 강서구 마곡동로 36","100명 이상 ~ 200명 미만","17,368,909","16.57 % (30 명)","11.05 % (20 명)"
"203","한국센서연구소",NA,NA,NA,NA,NA
"204","한국수출입은행","서울 영등포구 은행로 38","1,000명 이상",NA,"20.06 % (248 명)","19.34 % (239 명)"
"205","한국엠에스디","서울 중구 한강대로 416, 23층","400명 이상 ~ 700명 미만","484,677,547","10.83 % (56 명)","10.83 % (56 명)"
"206","지란지교시큐리티","서울 강남구 역삼로 542, 5층 502호","100명 이상 ~ 200명 미만","24,593,734","13.61 % (20 명)","10.88 % (16 명)"
"207","쿡앱스","경기 성남시 분당구 대왕판교로 660, B동 801호","100명 이상 ~ 200명 미만","38,293,801","38.10 % (48 명)","37.30 % (47 명)"
"208","피앰아이","서울 서초구 강남대로91길 16, 2층","40명 이상 ~ 70명 미만","50억원 ~ 100억원","53.85 % (28 명)","34.62 % (18 명)"
"209","교보증권","서울 영등포구 의사당대로 97","700명 이상 ~ 1000명 미만",NA,"14.40 % (131 명)","7.47 % (68 명)"
"210","한국광해관리공단","강원 원주시 세계로 2","200명 이상 ~ 400명 미만",NA,"2.73 % (7 명)","101.56 % (260 명)"
"211","한국산업단지공단","대구 동구 첨단로 39","400명 이상 ~ 700명 미만","5000억 이상 ~","21.70 % (135 명)","20.74 % (129 명)"
"212","한국아이티진흥","서울 영등포구 양평로21가길 19, B동 6층","70명 이상 ~ 100명 미만","35,322,923","31.00 % (31 명)","34.00 % (34 명)"
"213","비즈엠코리아웍스",NA,NA,NA,NA,NA
