"","기업명","본사주소","직원수","2020년매출액(천원)","입사율(연간 입사자)","퇴사율(연간 퇴사자"
"5674","서울문화사 나일론",NA,NA,NA,NA,NA
"5675","성지산업","경기 화성시 동탄하나1길 54-33","100명 이상 ~ 200명 미만","223,832,692","24.67 % (37 명)","15.33 % (23 명)"
"5676","세진종합기술","서울 금천구 가산디지털1로 145, 904호 903호, 904호","1명 이상 ~ 20명 미만",NA,"9.84 % (6 명)","83.61 % (51 명)"
"5677","신흥에스이씨","경기 오산시 양산로 48","1,000명 이상","144,717,727","99.76 % (823 명)","86.91 % (717 명)"
"5678","실리콘화일","경기 성남시 분당구 성남대로343번길 9, 16층",NA,NA,NA,NA
"5679","아센텍","충남 아산시 음봉면 산동로 190-23","100명 이상 ~ 200명 미만","74,680,949","36.42 % (59 명)","32.10 % (52 명)"
"5680","에스디바이오센서","경기 수원시 영통구 덕영대로1556번길 16, 씨동 4층, 5층","400명 이상 ~ 700명 미만","1,477,922,065","60.59 % (186 명)","75.24 % (231 명)"
"5681","에이알텍","서울 금천구 벚꽃로 298, 909호","70명 이상 ~ 100명 미만","11,408,286","54.84 % (51 명)","34.41 % (32 명)"
"5682","엔쓰리엔","서울 강남구 테헤란로98길 16, 2층","20명 이상 ~ 40명 미만","7,501,335","28.85 % (15 명)","71.15 % (37 명)"
"5683","엔유씨전자","대구 북구 노원로 280","200명 이상 ~ 400명 미만","53,823,614","17.13 % (37 명)","13.89 % (30 명)"
"5684","영서물산","서울 마포구 성미산로13길 10","40명 이상 ~ 70명 미만","14,095,967","33.33 % (23 명)","42.03 % (29 명)"
"5685","와이SK미디어",NA,NA,NA,NA,NA
"5686","우성파워텍","대구 달성군 구지면 달성2차1로 91","100명 이상 ~ 200명 미만","87,412,080","30.13 % (47 명)","32.69 % (51 명)"
"5687","주광정밀","경북 구미시 1공단로10길 55","100명 이상 ~ 200명 미만","77,922,832","21.39 % (37 명)","22.54 % (39 명)"
"5688","중흥종합건설","광주 북구 무등로 204",NA,NA,NA,NA
"5689","참프레","전북 부안군 행안면 옥여길 32-29","400명 이상 ~ 700명 미만","439,063,702","26.28 % (179 명)","26.14 % (178 명)"
"5690","큐케이씨","서울 성동구 아차산로15길 52, 905호","1명 이상 ~ 20명 미만","50억원 ~ 100억원","71.43 % (5 명)","71.43 % (5 명)"
"5691","테라컨설팅그룹",NA,NA,NA,NA,NA
"5692","테크데이타","서울 용산구 효창원로 6-4","20명 이상 ~ 40명 미만",NA,"20.75 % (11 명)","32.08 % (17 명)"
"5693","홈캐스트","서울 강남구 언주로 726, 14층","20명 이상 ~ 40명 미만","20,709,466","17.39 % (8 명)","34.78 % (16 명)"
"5694","금강","세종 전동면 노장공단길 59","200명 이상 ~ 400명 미만","132,141,676","23.05 % (62 명)","33.09 % (89 명)"
"5695","뉴플로이",NA,NA,NA,NA,NA
"5696","비아이스트라코리아","서울 강남구 논현로124길 5, 4층","1명 이상 ~ 20명 미만","5억원 ~ 10억원","175.00 % (7 명)","150.00 % (6 명)"
"5697","셀리턴","인천 남동구 남동서로 237","40명 이상 ~ 70명 미만","14,944,793","42.86 % (45 명)","71.43 % (75 명)"
"5698","시선인터내셔널","서울 강남구 테헤란로34길 6, 8층 801호","200명 이상 ~ 400명 미만","137,948,763","66.09 % (152 명)","57.39 % (132 명)"
"5699","아메바",NA,NA,NA,NA,NA
"5700","아이비에스인더스트리","서울 강남구 언주로 531","1,000명 이상","223,680,471","76.75 % (2149 명)","77.71 % (2176 명)"
"5701","안그라픽스","경기 파주시 회동길 125-15","40명 이상 ~ 70명 미만","100억원 ~ 500억원","66.10 % (39 명)","66.10 % (39 명)"
"5702","약손명가","서울 강남구 압구정로 222, B1호","1명 이상 ~ 20명 미만","50억원 ~ 100억원","25.00 % (4 명)","31.25 % (5 명)"
"5703","에이스브이","경남 김해시 주촌면 소망길 1-12","40명 이상 ~ 70명 미만","50억원 ~ 100억원","20.31 % (13 명)","26.56 % (17 명)"
"5704","엠에스씨","경남 양산시 소주회야로 45-73","400명 이상 ~ 700명 미만","145,252,776","47.33 % (248 명)","53.63 % (281 명)"
"5705","톱텍","경북 구미시 산동읍 첨단기업5로 140-22","400명 이상 ~ 700명 미만","280,185,548","14.12 % (60 명)","20.24 % (86 명)"
"5706","파스토","서울 강남구 테헤란로79길 6, 9층","70명 이상 ~ 100명 미만",NA,"113.04 % (78 명)","76.81 % (53 명)"
"5707","강남베드로병원",NA,NA,NA,NA,NA
"5708","남양약품","서울 영등포구 양평로30길 22","70명 이상 ~ 100명 미만","318,066,599","30.99 % (22 명)","26.76 % (19 명)"
"5709","네추럴에프앤피","충북 청주시 청원구 오창읍 양청송대길 39","200명 이상 ~ 400명 미만","40,467,479","17.41 % (39 명)","24.11 % (54 명)"
"5710","대우전자부품","전북 정읍시 공단2길 3","200명 이상 ~ 400명 미만","75,948,847","44.06 % (115 명)","46.74 % (122 명)"
"5711","동신툴피아","서울 금천구 벚꽃로 142","200명 이상 ~ 400명 미만","154,974,985","25.29 % (66 명)","19.54 % (51 명)"
"5712","동진섬유","부산 기장군 정관읍 농공길 2-109","100명 이상 ~ 200명 미만","140,104,528","14.03 % (31 명)","20.81 % (46 명)"
"5713","모아텍","인천 남동구 인주대로 698","70명 이상 ~ 100명 미만","26,867,030","13.41 % (11 명)","15.85 % (13 명)"
"5714","바이코어","경기 성남시 분당구 황새울로258번길 31, 503호","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"5715","삼우금속공업","경남 창원시 성산구 성주로 53","200명 이상 ~ 400명 미만","45,650,048","2.59 % (6 명)","12.50 % (29 명)"
"5716","생고뱅코리아","인천 연수구 첨단대로124번길 34","100명 이상 ~ 200명 미만","53,855,018","22.90 % (30 명)","11.45 % (15 명)"
"5717","세종아이콘","세종 조치원읍 세종로 2639, 홍익대학교 세종캠퍼스 체육관 엘-104호","1명 이상 ~ 20명 미만","5억원 ~ 10억원","66.67 % (4 명)","33.33 % (2 명)"
"5718","신광정공","경기 안산시 단원구 시화벤처로 651","100명 이상 ~ 200명 미만","4,337,560","21.05 % (8 명)","94.74 % (36 명)"
"5719","신신제약","세종 소정면 소정산단동로 9","200명 이상 ~ 400명 미만","66,958,481","30.38 % (89 명)","20.14 % (59 명)"
"5720","씨엠인포텍","서울 서초구 방배로 108, 6층.7층","1명 이상 ~ 20명 미만",NA,"17.39 % (4 명)","39.13 % (9 명)"
"5721","아시아나에어포트","서울 강서구 하늘길 111","1,000명 이상","170,208,858","30.72 % (568 명)","35.69 % (660 명)"
"5722","안산도시공사","경기 안산시 단원구 적금로 202","400명 이상 ~ 700명 미만","500억원 ~ 1000억원","15.66 % (83 명)","23.02 % (122 명)"
"5723","에스큐엔지니어링","서울 송파구 중대로 212, 4층","100명 이상 ~ 200명 미만","18,776,485","62.34 % (96 명)","70.78 % (109 명)"
"5724","에이플러스에셋","부산 부산진구 중앙대로 640, 19층",NA,NA,NA,NA
"5725","엔케이","부산 강서구 과학산단로 194-11","100명 이상 ~ 200명 미만","69,334,510","60.61 % (60 명)","62.63 % (62 명)"
"5726","엘씨텍","경북 구미시 1공단로7길 36-17","70명 이상 ~ 100명 미만","24,129,155","32.99 % (32 명)","31.96 % (31 명)"
"5727","영화금속","경남 창원시 진해구 남의로 57","400명 이상 ~ 700명 미만","179,397,570","4.71 % (9 명)","11.52 % (22 명)"
"5728","오름","인천 서구 청라루비로 76, 166호","-","2,727,270","0.00 % (0 명)","0.00 % (0 명)"
"5729","와이에이치교역","경기 안산시 단원구 산성로 79","70명 이상 ~ 100명 미만","27,982,953","67.21 % (41 명)","40.98 % (25 명)"
"5730","유니트아이엔씨","서울 구로구 디지털로30길 28, 15층 1504호","100명 이상 ~ 200명 미만","112,530,139","57.43 % (58 명)","48.51 % (49 명)"
"5731","유성기업","충남 아산시 둔포면 아산밸리동로 22","400명 이상 ~ 700명 미만","241,124,419","0.00 % (0 명)","33.33 % (1 명)"
"5732","이폴리움",NA,NA,NA,NA,NA
"5733","인터코리아맨파워시스템","서울 중구 무교로 20","200명 이상 ~ 400명 미만","22,489,552","71.27 % (330 명)","87.90 % (407 명)"
"5734","자유투어","서울 중구 세종대로 135, 802호","20명 이상 ~ 40명 미만","10억원 ~ 50억원","0.00 % (28 명)","0.00 % (30 명)"
"5735","장맥엔지니어링","충남 서산시 안견로 475, 2층","100명 이상 ~ 200명 미만","17,319,772","43.18 % (57 명)","28.03 % (37 명)"
"5736","종합전기","서울 동대문구 한천로14길 87","100명 이상 ~ 200명 미만","64,029,477","162.76 % (319 명)","20.92 % (41 명)"
"5737","카파코리아","부산 해운대구 달맞이길 43, 2202호",NA,NA,NA,NA
"5738","태양기전",NA,NA,NA,NA,NA
"5739","퓨쳐시스템","서울 구로구 디지털로26길 61, 1902호","40명 이상 ~ 70명 미만","11,043,248","41.67 % (25 명)","31.67 % (19 명)"
"5740","한국도박문제관리센터","서울 중구 퇴계로 173, 8층","70명 이상 ~ 100명 미만",NA,"11.88 % (12 명)","24.75 % (25 명)"
"5741","한국맥널티","충남 천안시 서북구 성환읍 연암율금로 42","100명 이상 ~ 200명 미만","37,752,069","9.38 % (6 명)","21.88 % (14 명)"
"5742","후지테크코리아","인천 남동구 호구포로 151","200명 이상 ~ 400명 미만","45,407,312","7.85 % (19 명)","10.74 % (26 명)"
"5743","더피알커뮤니케이션","서울 서대문구 경기대로 47, 7층 서관","40명 이상 ~ 70명 미만","21,318,223","64.58 % (31 명)","60.42 % (29 명)"
"5744","루시드프로모커뮤니케이션즈",NA,NA,NA,NA,NA
"5745","매스코","경기 안양시 동안구 흥안대로427번길 38, 501호,502호,503호","100명 이상 ~ 200명 미만","50억원 ~ 100억원","52.21 % (71 명)","34.56 % (47 명)"
"5746","모바일팩토리","서울 금천구 가산디지털1로 24, 1103호","40명 이상 ~ 70명 미만",NA,"16.67 % (7 명)","16.67 % (7 명)"
"5747","모아종합건설","광주 북구 북문대로 161, 3층","70명 이상 ~ 100명 미만","231,626,171","70.59 % (60 명)","64.71 % (55 명)"
"5748","민커뮤니케이션","경기 고양시 일산동구 견달산로369번길 215-41, 다동","1명 이상 ~ 20명 미만","50억원 ~ 100억원","100.00 % (8 명)","75.00 % (6 명)"
"5749","바바리안모터스","서울 양천구 목동동로 210","700명 이상 ~ 1000명 미만","721,405,300","1.38 % (10 명)","3.72 % (27 명)"
"5750","세종메디칼","경기 파주시 신촌2로 11","100명 이상 ~ 200명 미만","13,993,481","40.71 % (46 명)","23.89 % (27 명)"
"5751","솔바테크놀러지","서울 금천구 가산디지털2로 184, 413호","40명 이상 ~ 70명 미만","50억원 ~ 100억원","26.09 % (12 명)","23.91 % (11 명)"
"5752","씨에스엠앤이",NA,NA,NA,NA,NA
"5753","아이베","경기 남양주시 진접읍 경복대로512번길 7-1","20명 이상 ~ 40명 미만",NA,"70.00 % (14 명)","60.00 % (12 명)"
"5754","에어패스","경기 하남시 하남대로 947, 제씨-401호,제디-15층","100명 이상 ~ 200명 미만","10,624,291","72.22 % (91 명)","61.11 % (77 명)"
"5755","에이치와이티씨","경기 군포시 산본로101번길 9-14","100명 이상 ~ 200명 미만","21,306,042","46.81 % (44 명)","31.91 % (30 명)"
"5756","와그","서울 종로구 경희궁길 36, 2층","20명 이상 ~ 40명 미만",NA,"44.44 % (16 명)","36.11 % (13 명)"
"5757","쿠프마케팅","서울 성동구 성수이로10길 14, 904호, 905호, 10층","100명 이상 ~ 200명 미만","54,996,818","53.06 % (78 명)","34.69 % (51 명)"
"5758","태진인터내셔날","서울 동대문구 신설동 9314번지",NA,NA,NA,NA
"5759","테크노베이션파트너스","서울 강남구 역삼로 212, 4층","1명 이상 ~ 20명 미만","10억원 ~ 50억원","45.00 % (9 명)","60.00 % (12 명)"
"5760","파이닉스알엔디","경기 성남시 분당구 성남대로331번길 8, 609호","100명 이상 ~ 200명 미만","29,225,038","14.29 % (30 명)","20.95 % (44 명)"
"5761","한국시세이도","서울 강남구 테헤란로108길 42, 3층","400명 이상 ~ 700명 미만","124,927,479","35.76 % (231 명)","52.48 % (339 명)"
"5762","갑을오토텍",NA,NA,NA,NA,NA
"5763","대봉엘에스","인천 남동구 능허대로649번길 123","100명 이상 ~ 200명 미만","61,215,808","31.86 % (36 명)","36.28 % (41 명)"
"5764","대통기획","서울 중구 퇴계로26길 15","20명 이상 ~ 40명 미만","6,016,894","37.50 % (9 명)","29.17 % (7 명)"
"5765","대한한의사협회",NA,NA,NA,NA,NA
"5766","데코네티션","서울시 양천구 목동",NA,NA,NA,NA
"5767","동아회원권거래소","서울 강남구 언주로 601, 12층","40명 이상 ~ 70명 미만","100억원 ~ 500억원","4.55 % (3 명)","12.12 % (8 명)"
"5768","모나리자","서울 동작구 보라매로5길 15, 21층","100명 이상 ~ 200명 미만","117,130,876","25.71 % (27 명)","24.76 % (26 명)"
"5769","스튜디오헤이데이","서울 마포구 양화로10길 20","1명 이상 ~ 20명 미만",NA,"50.00 % (8 명)","81.25 % (13 명)"
"5770","아반스트레이트코리아","경기 평택시 청북읍 현곡산단로 84","100명 이상 ~ 200명 미만","3,111,489","42.34 % (47 명)","45.95 % (51 명)"
"5771","엔에이치농협캐피탈","서울 영등포구 국제금융로8길 27-8","200명 이상 ~ 400명 미만",NA,"40.06 % (145 명)","37.57 % (136 명)"
"5772","오오씨엘코리아","서울 종로구 새문안로5길 19","20명 이상 ~ 40명 미만",NA,"7.50 % (3 명)","7.50 % (3 명)"
"5773","와이엠티","인천 남동구 남동동로153번길 30","100명 이상 ~ 200명 미만","70,201,875","38.75 % (62 명)","32.50 % (52 명)"
"5774","정도산업","경북 울진군 죽변면 동해대로 5047","20명 이상 ~ 40명 미만","7,900,379","16.67 % (4 명)","58.33 % (14 명)"
"5775","제이비커뮤니케이션","부산 남구 고동골로78번길 69, 301호,302호,303호,304호,305호,306호","1명 이상 ~ 20명 미만","10억원 ~ 50억원","0.00 % (0 명)","16.67 % (1 명)"
"5776","제이엠피코리아","서울 영등포구 영신로 220, 1301호","200명 이상 ~ 400명 미만","50억원 ~ 100억원","104.51 % (255 명)","97.13 % (237 명)"
"5777","중앙신용정보","서울 관악구 보라매로3길 23, 15층","100명 이상 ~ 200명 미만","26,201,214","61.18 % (52 명)","36.47 % (31 명)"
"5778","코코네(영업소)","서울 강남구 학동로9길 19","200명 이상 ~ 400명 미만","~ 5억원 이하","61.45 % (102 명)","42.17 % (70 명)"
"5779","텔스타홈멜","경기 평택시 청북읍 현곡산단로93번길 89","70명 이상 ~ 100명 미만","33,877,598","15.22 % (14 명)","19.57 % (18 명)"
"5780","판타지오","서울 강남구 삼성로 648, 2층","40명 이상 ~ 70명 미만","9,143,394","147.37 % (56 명)","63.16 % (24 명)"
"5781","피플웍스","경북 구미시 1공단로 228","100명 이상 ~ 200명 미만","159,528,050","26.13 % (29 명)","31.53 % (35 명)"
"5782","현진소","부산 강서구 녹산화전로 63","40명 이상 ~ 70명 미만","13,356,016","15.28 % (11 명)","27.78 % (20 명)"
"5783","홍익병원","서울 양천구 목동로 225",NA,NA,NA,NA
"5784","그래피직스",NA,NA,NA,NA,NA
"5785","그레닉스","경기 군포시 공단로140번길 37, 3층, 4층","200명 이상 ~ 400명 미만","26,342,444","189.00 % (395 명)","164.11 % (343 명)"
"5786","더비코","경기 성남시 중원구 둔촌대로 545, 1001호","1명 이상 ~ 20명 미만","50억원 ~ 100억원","61.54 % (8 명)","53.85 % (7 명)"
"5787","라온스토리","서울 구로구 디지털로33길 28, 1307호","20명 이상 ~ 40명 미만","5억원 ~ 10억원","194.44 % (35 명)","166.67 % (30 명)"
"5788","메타넷에스엔씨",NA,NA,NA,NA,NA
"5789","미래도시건설","경기 김포시 태장로 784, 407호","100명 이상 ~ 200명 미만","37,813,707","210.53 % (80 명)","134.21 % (51 명)"
"5790","미코바이오메드","경기 성남시 수정구 창업로 54, 가동 3층,4층","100명 이상 ~ 200명 미만","45,721,879","30.99 % (44 명)","28.87 % (41 명)"
"5791","본보야지","서울 중구 정동길 33, 304호","1명 이상 ~ 20명 미만",NA,"77.78 % (7 명)","66.67 % (6 명)"
"5792","브이엔티지","서울 마포구 양화로 45, 6층","200명 이상 ~ 400명 미만","15,287,332","48.10 % (101 명)","37.14 % (78 명)"
"5793","브이티코스메틱","광주 서구 상무중앙로 24, 1층",NA,NA,NA,NA
"5794","삼진일렉스","서울 강남구 학동로30길 33","200명 이상 ~ 400명 미만","199,426,362","335.37 % (3404 명)","20.20 % (205 명)"
"5795","세원","경기 평택시 산단로64번길 56","200명 이상 ~ 400명 미만","56,751,463","32.43 % (72 명)","36.49 % (81 명)"
"5796","세중","서울 종로구 창경궁로 143, 6층","100명 이상 ~ 200명 미만","2,926,416","647.06 % (110 명)","405.88 % (69 명)"
"5797","스타크레디트대부",NA,NA,NA,NA,NA
"5798","아이에스이커머스","서울 강남구 영동대로 648, 5층","70명 이상 ~ 100명 미만","20,766,745","72.58 % (45 명)","51.61 % (32 명)"
"5799","예림임업","인천 남동구 논현고잔로135번길 29","200명 이상 ~ 400명 미만","112,960,028","35.20 % (107 명)","43.09 % (131 명)"
"5800","자비스","경기 성남시 중원구 사기막골로 177, 619호","70명 이상 ~ 100명 미만","12,275,482","55.00 % (44 명)","48.75 % (39 명)"
"5801","지노시스템","경기 고양시 일산동구 장대길 106-57",NA,NA,NA,NA
"5802","케이엔알시스템","경기 용인시 처인구 남사읍 천덕산로482번길 1","100명 이상 ~ 200명 미만","28,640,813","71.00 % (71 명)","24.00 % (24 명)"
"5803","코지샵","인천 연수구 송도과학로 56, 323호, 324호","1명 이상 ~ 20명 미만","10억원 ~ 50억원","116.67 % (14 명)","125.00 % (15 명)"
"5804","타라유통","서울 마포구 상암산로 34, 9층","70명 이상 ~ 100명 미만","141,458,129","54.72 % (29 명)","18.87 % (10 명)"
"5805","페퍼저축은행","경기 성남시 분당구 황새울로 340","400명 이상 ~ 700명 미만",NA,"30.43 % (126 명)","11.59 % (48 명)"
"5806","갑진","경기 수원시 권선구 오목천로152번길 29","100명 이상 ~ 200명 미만","98,475,637","56.78 % (67 명)","55.08 % (65 명)"
"5807","다홍엔지니프",NA,NA,NA,NA,NA
"5808","대림비앤코","경남 창원시 성산구 공단로 52","400명 이상 ~ 700명 미만","230,292,155","13.04 % (78 명)","16.22 % (97 명)"
"5809","동국실업","대구 서구 국채보상로20길 9-14",NA,"10억원 ~ 50억원",NA,NA
"5810","베이비뉴스","서울 마포구 마포대로 78, 지하1층","1명 이상 ~ 20명 미만","50억원 ~ 100억원","12.00 % (3 명)","16.00 % (4 명)"
"5811","부민병원","서울 강서구 공항대로 389","400명 이상 ~ 700명 미만",NA,"51.35 % (266 명)","49.03 % (254 명)"
"5812","브랜드메이저","서울 강남구 논현로175길 107, 7층","1명 이상 ~ 20명 미만",NA,"80.00 % (4 명)","40.00 % (2 명)"
"5813","비비드커뮤니케이션즈","서울 서초구 강남대로95길 19-4, 303호","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"5814","삼진글로벌넷","서울 강남구 삼성로 562","200명 이상 ~ 400명 미만","199,676,722","16.24 % (32 명)","14.21 % (28 명)"
"5815","서울비젼","경기 양평군 양평읍 곰덕우물길 28",NA,NA,NA,NA
"5816","세일투나잇","서울 강남구 논현로 644, 4층","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"5817","세종학당단",NA,NA,NA,NA,NA
"5818","스카이피플","경기 성남시 분당구 판교로 253, 5층","40명 이상 ~ 70명 미만",NA,"52.78 % (38 명)","65.28 % (47 명)"
"5819","아산제약","경기 화성시 영천로 163","100명 이상 ~ 200명 미만","46,887,702","40.27 % (91 명)","31.42 % (71 명)"
"5820","아시아투데이",NA,NA,NA,NA,NA
"5821","애다트커뮤니케이션",NA,NA,NA,NA,NA
"5822","언더아머코리아","서울 강남구 테헤란로 521, 28층","100명 이상 ~ 200명 미만","95,578,706","154.42 % (349 명)","128.76 % (291 명)"
"5823","에넥스","서울 서초구 서초대로73길 40","200명 이상 ~ 400명 미만","231,275,141","33.97 % (53 명)","29.49 % (46 명)"
"5824","예스아시아닷컴코리아","서울 강남구 논현로30길 47, 1층","1명 이상 ~ 20명 미만",NA,"5.26 % (1 명)","31.58 % (6 명)"
"5825","오뗄","서울 송파구 도곡로62길 7","200명 이상 ~ 400명 미만","80,663,649","50.00 % (124 명)","44.35 % (110 명)"
"5826","원창포장공업","경남 김해시 주촌면 서부로1293번길 24","200명 이상 ~ 400명 미만","127,964,265","11.86 % (28 명)","109.75 % (259 명)"
"5827","월드브리지산업",NA,NA,NA,NA,NA
"5828","디캐이","경남 김해시 율하3로 75",NA,NA,NA,NA
"5829","의료법인인성의료단 한림병원",NA,NA,NA,NA,NA
"5830","제이씨현시스템","서울 용산구 새창로45길 74","70명 이상 ~ 100명 미만","190,462,430","29.79 % (28 명)","23.40 % (22 명)"
"5831","제일감정평가법인","서울 서초구 방배로 28","400명 이상 ~ 700명 미만","74,067,839","16.74 % (36 명)","16.74 % (36 명)"
"5832","지로드코리아","서울 동작구 노량진로 100","20명 이상 ~ 40명 미만",NA,"60.87 % (14 명)","69.57 % (16 명)"
"5833","케이지씨라이프앤진","서울 관악구 보라매로3길 23, 12층","20명 이상 ~ 40명 미만","44,996,881","15.00 % (6 명)","27.50 % (11 명)"
"5834","코렌","경기 시흥시 소망공원로 323, 3층 320호",NA,NA,NA,NA
"5835","텔레웍스","서울 금천구 가산디지털1로 168, A동 1212호","40명 이상 ~ 70명 미만","50억원 ~ 100억원","20.00 % (10 명)","48.00 % (24 명)"
"5836","투쿨포스쿨","경기 과천시 찬우물로 15","100명 이상 ~ 200명 미만","80,960,480","35.29 % (36 명)","34.31 % (35 명)"
"5837","페어콘라인","서울 중구 을지로 16, 11층","40명 이상 ~ 70명 미만",NA,"28.00 % (14 명)","24.00 % (12 명)"
"5838","하이디라오코리아","서울 영등포구 경인로 870, 2층","200명 이상 ~ 400명 미만","13,976,646","177.09 % (317 명)","121.23 % (217 명)"
"5839","하이즈항공","경남 사천시 사남면 공단5로 24","200명 이상 ~ 400명 미만","29,060,544","13.04 % (54 명)","41.79 % (173 명)"
"5840","한국이엠씨","경기 안양시 동안구 흥안대로 415, 401호, 402호, 403호, 417호, 431호, 432호, 433호, 434호","40명 이상 ~ 70명 미만","50억원 ~ 100억원","20.00 % (15 명)","25.33 % (19 명)"
"5841","한국통운","울산 울주군 온산읍 대정로 100","1명 이상 ~ 20명 미만","50억원 ~ 100억원","40.00 % (6 명)","20.00 % (3 명)"
"5842","해커스 교육그룹",NA,NA,NA,NA,NA
"5843","다래파크텍","서울 송파구 충민로 52, B동 9층","100명 이상 ~ 200명 미만","33,165,305","39.73 % (58 명)","39.73 % (58 명)"
"5844","메디아나","강원 원주시 문막읍 동화공단로 132","100명 이상 ~ 200명 미만","67,137,354","32.52 % (53 명)","26.38 % (43 명)"
"5845","성일에스아이엠","부산 사상구 모라로 22, 1701호","100명 이상 ~ 200명 미만","97,887,151","13.38 % (21 명)","12.10 % (19 명)"
"5846","소셜엠씨","서울 강남구 선릉로 648, 4층","40명 이상 ~ 70명 미만","10억원 ~ 50억원","22.86 % (16 명)","51.43 % (36 명)"
"5847","소프트웨어인라이프","서울 강남구 테헤란로20길 16, 3층","20명 이상 ~ 40명 미만",NA,"88.89 % (24 명)","77.78 % (21 명)"
"5848","수양켐텍","충남 예산군 고덕면 예당산단4길 80","40명 이상 ~ 70명 미만","15,061,398","21.28 % (10 명)","17.02 % (8 명)"
"5849","스맥","경남 김해시 주촌면 골든루트로 157-10","100명 이상 ~ 200명 미만","108,462,425","26.89 % (32 명)","33.61 % (40 명)"
"5850","시공사","경남 김해시 진례면 고모로324번길 135-62","70명 이상 ~ 100명 미만","22,561,625","13.04 % (9 명)","14.49 % (10 명)"
"5851","에스아이티씨로지스틱스코리아","서울 강서구 양천로 583, A동 501,502호","40명 이상 ~ 70명 미만","83,162,284","46.34 % (19 명)","31.71 % (13 명)"
"5852","에이플러스에셋어드바이저","서울 서초구 강남대로 369, 19층","400명 이상 ~ 700명 미만","244,048,413","21.50 % (86 명)","21.75 % (87 명)"
"5853","인밸류비즈","서울 영등포구 영신로 220, 13층 1311호","70명 이상 ~ 100명 미만","100억원 ~ 500억원","17.24 % (15 명)","28.74 % (25 명)"
"5854","인터플렉스","경기 안산시 단원구 강촌로 149","400명 이상 ~ 700명 미만","248,803,864","60.97 % (289 명)","65.82 % (312 명)"
"5855","제일플랜트","경기 화성시 마도면 청원산단8길 138","20명 이상 ~ 40명 미만",NA,"55.56 % (15 명)","51.85 % (14 명)"
"5856","테크랩스","서울 강남구 언주로 428, 9층","40명 이상 ~ 70명 미만","50억원 ~ 100억원","148.72 % (58 명)","120.51 % (47 명)"
"5857","게코소프트","서울 금천구 가산디지털1로 145, 610호",NA,NA,NA,NA
"5858","대원정밀공업","경기 안산시 단원구 범지기로141번길 100","200명 이상 ~ 400명 미만","211,450,092","20.76 % (49 명)","14.41 % (34 명)"
"5859","대한과학","강원 원주시 지정면 신평석화로 326","100명 이상 ~ 200명 미만","41,678,754","5.93 % (7 명)","17.80 % (21 명)"
"5860","디에이피","경기 안성시 미양면 안성맞춤대로 474-22","1,000명 이상","301,339,709","37.77 % (406 명)","46.05 % (495 명)"
"5861","마루느루","서울 광진구 구의강변로 86, 3층 301호, 302호","40명 이상 ~ 70명 미만","100억원 ~ 500억원","50.00 % (21 명)","52.38 % (22 명)"
"5862","삼강엠앤티","경남 고성군 동해면 내산3길 51-1","200명 이상 ~ 400명 미만","368,686,071","75.92 % (145 명)","26.70 % (51 명)"
"5863","삼영이엔씨","부산 영도구 상리로 69","200명 이상 ~ 400명 미만","35,290,264","10.59 % (27 명)","12.55 % (32 명)"
"5864","서울벽지","경기 양주시 칠봉산로286번길 77","70명 이상 ~ 100명 미만","36,690,625","12.00 % (12 명)","16.00 % (16 명)"
"5865","세아메카닉스","경북 구미시 1공단로10길 80","200명 이상 ~ 400명 미만",NA,"33.90 % (60 명)","14.69 % (26 명)"
"5866","스미토모에스에이치아이크라이오제닉스코리아","경기 수원시 권선구 산업로155번길 280-3","20명 이상 ~ 40명 미만",NA,"52.17 % (12 명)","30.43 % (7 명)"
"5867","신영하이테크","전남 무안군 청계면 청계공단길 62","100명 이상 ~ 200명 미만","55,168,262","17.81 % (26 명)","18.49 % (27 명)"
"5868","신한씨스텍","서울 서초구 양재천로19길 10","20명 이상 ~ 40명 미만",NA,"11.76 % (4 명)","23.53 % (8 명)"
"5869","아주저축은행",NA,NA,NA,NA,NA
"5870","어니컴","서울 용산구 두텁바위로 21, 5층","200명 이상 ~ 400명 미만","19,269,808","47.69 % (134 명)","35.23 % (99 명)"
"5871","에쓰씨엔지니어링","서울 영등포구 국제금융로 52, 3층,4층,5층","100명 이상 ~ 200명 미만","72,469,645","53.23 % (66 명)","37.90 % (47 명)"
"5872","에이케이켐텍","서울 마포구 양화로 188, 9층","200명 이상 ~ 400명 미만","1000억원 ~ 5000억원","6.92 % (11 명)","105.03 % (167 명)"
"5873","엠에스씨코리아","서울 중구 남대문로9길 40, 12층","100명 이상 ~ 200명 미만","50억원 ~ 100억원","19.13 % (22 명)","18.26 % (21 명)"
"5874","와이비엠","서울 종로구 종로 104","200명 이상 ~ 400명 미만","106,409,822","26.48 % (94 명)","24.51 % (87 명)"
"5875","위비스","서울 성동구 성수이로 51, 15층","100명 이상 ~ 200명 미만","112,633,833","52.25 % (93 명)","57.87 % (103 명)"
"5876","인터파크비즈마켓","서울 강남구 도산대로 235, 5층","100명 이상 ~ 200명 미만","35,493,192","40.88 % (65 명)","39.62 % (63 명)"
"5877","인터파크인터내셔널","서울 금천구 가산디지털2로 98, 1동 1110호","20명 이상 ~ 40명 미만","25,923,668","18.60 % (8 명)","41.86 % (18 명)"
