"","기업명","산업군","평점","모집내용","직군","지원자격","근무조건.근무지역","마감일.등록일","본사주소","직원수","X2020년매출액.천원.","입사율.연간.입사자.","퇴사율.연간.퇴사자"
"105","네이버","IT/웹/통신",3.9,NA,NA,NA,NA,NA,"경기 성남시 분당구 불정로 6","1,000명 이상","4,126,629,313","43.46 % (1782 명)","28.71 % (1177 명)"
"106","한국표준과학연구원","기관/협회",3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","파이브센스","IT/웹/통신",3.9,NA,NA,NA,NA,NA,"서울 금천구 가산디지털1로 88, 1401호","20명 이상 ~ 40명 미만","10억원 ~ 50억원","66.67 % (18 명)","70.37 % (19 명)"
"108","국방과학연구소","기관/협회",3.9,NA,NA,NA,NA,NA,"대전 유성구 북유성대로488번길 160","1,000명 이상",NA,"8.77 % (278 명)","8.65 % (274 명)"
"109","서울올림픽기념국민체육진흥공단","기관/협회",3.9,NA,NA,NA,NA,NA,"서울 송파구 올림픽로 424","-","5000억 이상 ~","0.00 % (0 명)","0.00 % (0 명)"
"110","이씨에스텔레콤","IT/웹/통신",3.9,NA,NA,NA,NA,NA,"서울 서초구 반포대로28길 8, 2 4층","100명 이상 ~ 200명 미만","70,398,030","15.76 % (26 명)","12.73 % (21 명)"
"111","제이디자인웍스","미디어/디자인",3.9,NA,NA,NA,NA,NA,"서울 금천구 가산디지털1로 145, 1604호","20명 이상 ~ 40명 미만","10억원 ~ 50억원","12.00 % (3 명)","12.00 % (3 명)"
"112","캐플릭스","IT/웹/통신",3.9,"[주 4일제 근무] 캐플릭스(제주패스) 부문별 경력 / 신입 채용","백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외","신입 · 경력
학력무관","정규직
제주 제주시","홈페이지 지원
~ 04/30
","제주 제주시 신광로 21, 4층","70명 이상 ~ 100명 미만","100억원 ~ 500억원","218.92 % (81 명)","100.00 % (37 명)"
"113","케이티앤지","제조/화학",3.9,NA,NA,NA,NA,NA,"대전 대덕구 벚꽃길 71","1,000명 이상","3,435,384,230","14.28 % (606 명)","18.28 % (776 명)"
"114","디에이전시","IT/웹/통신",3.9,NA,NA,NA,NA,NA,"서울 금천구 가산디지털2로 98, 1동 708호,709호","20명 이상 ~ 40명 미만",NA,"100.00 % (18 명)","55.56 % (10 명)"
"115","서울보증보험","은행/금융업",3.9,NA,NA,NA,NA,NA,"서울 종로구 김상옥로 29","1,000명 이상",NA,"18.67 % (303 명)","19.10 % (310 명)"
"116","신세계엘앤비","유통/무역/운송",3.9,NA,NA,NA,NA,NA,"서울 광진구 아차산로 563, 7층","200명 이상 ~ 400명 미만","145,394,205","69.87 % (313 명)","60.27 % (270 명)"
"117","아마존웹서비스","IT/웹/통신",3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","한국철도기술연구원","기관/협회",3.9,NA,NA,NA,NA,NA,"경기 의왕시 철도박물관로 176","400명 이상 ~ 700명 미만","500억원 ~ 1000억원","60.98 % (261 명)","62.85 % (269 명)"
"119","한국코카콜라","제조/화학",3.9,NA,NA,NA,NA,NA,"경기 의왕시 고천공업로 5","100명 이상 ~ 200명 미만","250,920,264","37.07 % (43 명)","25.00 % (29 명)"
"120","한국농촌경제연구원","기관/협회",3.9,NA,NA,NA,NA,NA,"전남 나주시 빛가람로 601","200명 이상 ~ 400명 미만",NA,"34.01 % (100 명)","35.37 % (104 명)"
"121","온다","IT/웹/통신",3.9,NA,NA,NA,NA,NA,"서울 강남구 테헤란로83길 49, 2층","70명 이상 ~ 100명 미만","50억원 ~ 100억원","87.50 % (49 명)","39.29 % (22 명)"
"122","대구텍","제조/화학",3.9,NA,NA,NA,NA,NA,"대구 달성군 가창면 가창로 1040","1,000명 이상",NA,"8.04 % (97 명)","4.56 % (55 명)"
"123","우리에프아이에스","IT/웹/통신",3.9,NA,NA,NA,NA,NA,"서울 마포구 월드컵북로60길 17","1,000명 이상","248,944,263","3.52 % (38 명)","9.54 % (103 명)"
"124","한국다우케미칼","제조/화학",3.9,NA,NA,NA,NA,NA,"서울 강남구 영동대로 520, 5층","70명 이상 ~ 100명 미만","426,376,125","13.51 % (10 명)","8.11 % (6 명)"
"125","한국산업기술평가관리원","기관/협회",3.9,NA,NA,NA,NA,NA,"대구 동구 첨단로8길 32","400명 이상 ~ 700명 미만","5000억 이상 ~","17.51 % (73 명)","15.35 % (64 명)"
"126","한국에너지기술연구원","기관/협회",3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","한화디펜스","제조/화학",3.9,NA,NA,NA,NA,NA,"경남 창원시 성산구 공단로 69","1,000명 이상","1,442,477,206","14.38 % (46 명)","13.13 % (42 명)"
"128","나음케어","의료/제약/복지",3.9,NA,NA,NA,NA,NA,"경기 성남시 수정구 위례광장로 9-9, 313호","100명 이상 ~ 200명 미만","37,293,063","53.85 % (49 명)","35.16 % (32 명)"
"129","뷰노","기관/협회",3.9,NA,NA,NA,NA,NA,"서울 서초구 강남대로 479, 9층","100명 이상 ~ 200명 미만","1,257,219","76.64 % (105 명)","41.61 % (57 명)"
"130","에듀윌","교육업",3.9,"에듀윌 부문별 인재모집(DBA/국비교육/출판 등)","백엔드/서버개발웹개발퍼블리셔프론트엔드SE(시스템엔지니어) 외","신입 · 경력
학력무관","정규직 · 계약직
서울 구로구","입사지원
~ 04/30
","서울 구로구 디지털로34길 55, 310호","400명 이상 ~ 700명 미만","119,264,173","49.02 % (350 명)","29.69 % (212 명)"
"131","지에스칼텍스여수공장","제조/화학",3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","캠프모바일","IT/웹/통신",3.9,NA,NA,NA,NA,NA,"서울 서초구 강남대로 369, 5층,6층,7층",NA,NA,NA,NA
"133","코리아신탁","은행/금융업",3.9,NA,NA,NA,NA,NA,"서울 강남구 테헤란로 508, 10층","200명 이상 ~ 400명 미만",NA,"35.16 % (64 명)","21.98 % (40 명)"
"134","콩테크","IT/웹/통신",3.9,NA,NA,NA,NA,NA,"경기 성남시 분당구 대왕판교로 660, B동 1203호","40명 이상 ~ 70명 미만","10억원 ~ 50억원","141.38 % (41 명)","44.83 % (13 명)"
"135","국민건강보험공단","은행/금융업",3.9,NA,NA,NA,NA,NA,"강원 원주시 건강로 32","1,000명 이상",NA,"24.06 % (3799 명)","25.25 % (3988 명)"
"136","국민연금공단","은행/금융업",3.9,NA,NA,NA,NA,NA,"전북 전주시 덕진구 기지로 180","1,000명 이상","5000억 이상 ~","16.86 % (1194 명)","16.09 % (1139 명)"
"137","아이비케이캐피탈","은행/금융업",3.9,NA,NA,NA,NA,NA,"서울 강남구 테헤란로 414","200명 이상 ~ 400명 미만",NA,"7.47 % (18 명)","6.64 % (16 명)"
"138","오픈서베이","IT/웹/통신",3.9,NA,NA,NA,NA,NA,"서울 서초구 서초대로78길 5, 10층","70명 이상 ~ 100명 미만","50억원 ~ 100억원","61.43 % (43 명)","25.71 % (18 명)"
"139","카이아이컴퍼니","IT/웹/통신",3.9,NA,NA,NA,NA,NA,"대전 유성구 테크노중앙로 55, 901-이호","20명 이상 ~ 40명 미만","10억원 ~ 50억원","100.00 % (27 명)","77.78 % (21 명)"
"140","강남대성학원","교육업",3.9,NA,NA,NA,NA,NA,"서울 강남구 테헤란로4길 39","100명 이상 ~ 200명 미만","25,475,181","104.07 % (179 명)","116.86 % (201 명)"
"141","금융감독원","은행/금융업",3.9,NA,NA,NA,NA,NA,"서울 영등포구 여의대로 38","1,000명 이상",NA,"8.18 % (178 명)","9.24 % (201 명)"
