"","unlist.company.","unlist.industry.","unlist.TPoint."
"328","(주)교보문고","유통/무역/운송","3.4"
"329","(주)그린웹서비스","서비스업","2.8"
"330","(주)노랑풍선","서비스업","2.4"
"331","(주)마이다스아이티","IT/웹/통신","3.3"
"332","이케아코리아(유)","유통/무역/운송","2.8"
"333","한국타이어(주)","제조/화학","2.9"
"334","넥슨네트웍스(주)","IT/웹/통신","2.9"
"335","세일즈웍스 코리아(유)","서비스업","3.1"
"336","웰컴저축은행(주)","은행/금융업","2.4"
"337","한국리서치(주)","기관/협회","2.9"
"338","(주)교보문고","유통/무역/운송","3.4"
"339","(주)그린웹서비스","서비스업","2.8"
"340","(주)노랑풍선","서비스업","2.4"
"341","(주)신한디에스","IT/웹/통신","2.6"
"342","(주)다우기술","IT/웹/통신","3.4"
"343","(주)한진","유통/무역/운송","2.8"
"344","엘에스산전(주)","IT/웹/통신","3.5"
"345","지에스홈쇼핑(주)","유통/무역/운송","3.2"
"346","포스코건설(주)","건설업","3.5"
"347","(주)현대홈쇼핑","유통/무역/운송","3.4"
"348","이엘씨에이한국(유)","유통/무역/운송","2.8"
"349","(주)한섬","제조/화학","2.7"
"350","매일유업(주)","제조/화학","3.1"
"351","신성통상(주)","제조/화학","2.6"
"352","(주)신도리코","제조/화학","2.6"
"353","롯데케미칼(주)","제조/화학","3.0"
"354","씨에스케이(주)","제조/화학","2.6"
"355","(주)휴맥스","제조/화학","2.8"
"356","(주)신세계","유통/무역/운송","3.6"
"357","코오롱인더스트리(주)","제조/화학","3.2"
"358","(주)농심","제조/화학","2.9"
"359","(주)씨제이이엔엠 오쇼핑부문","유통/무역/운송","3.2"
"360","한국가스안전공사","제조/화학","4.0"
"361","한국산업인력공단","교육업","3.3"
"362","크린팩토메이션(주)","제조/화학","3.1"
"363","삼성웰스토리(주)","서비스업","3.0"
"364","중소벤처기업진흥공단","기관/협회","3.6"
"365","(주)원익아이피에스","제조/화학","2.8"
"366","입소스(주)","기관/협회","2.6"
"367","(주)한솔교육","교육업","2.4"
"368","에스엠엔터테인먼트(주)","미디어/디자인","2.5"
"369","대덕전자(주)","제조/화학","2.8"
"370","지지무역(주)","제조/화학","2.5"
"371","(주)신세계푸드","서비스업","3.0"
"372","콘센트릭스서비스코리아(유)","IT/웹/통신","2.5"
"373","(주)피알원","서비스업","2.9"
"374","모두투어네트워크(주)","서비스업","3.1"
"375","엘에스엠트론(주)","제조/화학","2.6"
"376","(주)파고다아카데미","교육업","2.6"
"377","(주)에스비에스","미디어/디자인","3.2"
"378","에스케이케미칼(주)","제조/화학","3.2"
"379","(주)케이씨텍","제조/화학","3.0"
"380","잡코리아(유)","IT/웹/통신","3.2"
"381","(주)엠씨넥스","제조/화학","2.0"
"382","메디앙스(주)","제조/화학","2.0"
"383","한국가스공사","제조/화학","4.2"
"384","타이코에이엠피(주)","제조/화학","2.6"
"385","교보생명보험(주)","은행/금융업","3.0"
"386","나이스평가정보(주)","IT/웹/통신","3.4"
"387","삼양식품(주)","제조/화학","2.6"
"388","세메스(주)","제조/화학","3.3"
"389","(주)커리어넷","IT/웹/통신","2.6"
"390","(주)프레인글로벌","미디어/디자인","2.9"
"391","영림임업(주)","제조/화학","2.1"
"392","한전케이디엔(주)","IT/웹/통신","3.3"
"393","오씨아이(주)","제조/화학","3.0"
"394","한국과학기술원","교육업","3.5"
"395","(주)시대고시기획시대교육","미디어/디자인","1.9"
"396","팅크웨어(주)","IT/웹/통신","2.8"
"397","현대글로비스(주)","유통/무역/운송","3.1"
"398","(주)에이엠피엠글로벌","미디어/디자인","2.4"
"399","(주)이오테크닉스","제조/화학","1.8"
"400","메리츠화재해상보험(주)","은행/금융업","2.8"
"401","쿠쿠전자(주)","제조/화학","2.3"
"402","태평양물산(주)","제조/화학","3.2"
"403","현대위아(주)","제조/화학","2.9"
"404","현대로템(주)","제조/화학","3.1"
"405","한미반도체(주)","제조/화학","2.4"
"406","(주)대학내일","미디어/디자인","3.8"
"407","(주)무학","제조/화학","2.1"
"408","에이에스이코리아(주)","제조/화학","2.4"
"409","(주)오토닉스","제조/화학","2.6"
"410","일동제약(주)","의료/제약/복지","3.2"
"411","(주)성우하이텍","제조/화학","2.8"
"412","(주)신흥","의료/제약/복지","2.1"
"413","(재)한국화학융합시험연구원","기관/협회","3.1"
"414","(주)애드쿠아인터렉티브","미디어/디자인","2.9"
"415","(주)인터플렉스","제조/화학","2.2"
"416","(주)샤프에비에이션케이","유통/무역/운송","1.9"
"417","(주)위니아전자","제조/화학","2.4"
